"","ID","Surname","Given","IntlWW40","IntlWW50","IntlWW60"
"141","ICUS0141","Baughman","James A.",NA,NA,NA
"142","ICUS0142","Baum","Robert J.",NA,NA,NA
"143","ICUS0143","Baum","Samuel",NA,NA,NA
"144","ICUS0144","Baum","Werner A.",NA,NA,NA
"145","ICUS0145","Beadle","George Wells","B1903-10-22","B1903-10-22",NA
"146","ICUS0146","Beamish","Robert E.",NA,NA,NA
"147","ICUS0147","Beauchamp","Edward Robert",NA,NA,NA
"148","ICUS0148","Beck","A.",NA,NA,NA
"149","ICUS0149","Beck","Michael",NA,NA,NA
"150","ICUS0150","Beck","Robert N.",NA,NA,NA
"151","ICUS0151","Becker","Carl B.",NA,NA,NA
"152","ICUS0152","Becker","Werner",NA,NA,NA
"153","ICUS0153","Bedaux","Jan Baptist",NA,NA,NA
"154","ICUS0154","Behar","Nansen Alfred",NA,NA,NA
"155","ICUS0155","Bekenstein","Jacob David",NA,NA,NA
"156","ICUS0156","Beltrametti","Enrico G.",NA,NA,NA
"157","ICUS0157","Ben Aboud","El Mehdi",NA,NA,NA
"158","ICUS0158","Benben","John S.",NA,NA,NA
"159","ICUS0159","Ben-Dak","Joseph D.",NA,NA,NA
"160","ICUS0160","Benedictow","Ole Jørgen",NA,NA,NA
"161","ICUS0161","Bennett","John Makepeace",NA,NA,NA
"162","ICUS0162","Bennis","Warren G.",NA,NA,NA
"163","ICUS0163","Benson","Bruce Lowell",NA,NA,NA
"164","ICUS0164","Berenbaum","Michael",NA,NA,NA
"165","ICUS0165","Bergan","Tom",NA,NA,NA
"166","ICUS0166","Berger","Arthur Seymour",NA,NA,NA
"167","ICUS0167","Berger","René",NA,NA,NA
"168","ICUS0168","Bergman","William L.",NA,NA,NA
"169","ICUS0169","Berkowitz","Morris I.",NA,NA,NA
"170","ICUS0170","Berleant","Arnold",NA,NA,NA
"171","ICUS0171","Bernardi","Bernardo",NA,NA,NA
"172","ICUS0172","Berndt","Thomas J.",NA,NA,NA
"173","ICUS0173","Bernholz","Peter",NA,NA,NA
"174","ICUS0174","Berry","Richard Stephen",NA,"B1931-04-09","B1931-04-09"
"175","ICUS0175","Berthoin","Georges Paul","B1925-05-17","B1925-05-17","B1925-05-17"
"176","ICUS0176","Bertola","Francesco",NA,NA,NA
"177","ICUS0177","Bettis","Joseph Dabney",NA,NA,NA
"178","ICUS0178","Bettis","Lynne Masland",NA,NA,"B"
"179","ICUS0179","Bey","Arifin",NA,NA,NA
"180","ICUS0180","Bhargava","Purushottam Lal",NA,NA,NA
"181","ICUS0181","Bhattacharyya","Asit Kumar",NA,NA,NA
"182","ICUS0182","Bhiday","Madhav Ramchandra",NA,NA,NA
"183","ICUS0183","Bianchi","Henri",NA,NA,NA
"184","ICUS0184","Bianco","Rosaria Egidi",NA,NA,NA
"185","ICUS0185","Bilaniuk","Petro Borys Tereshkowych",NA,NA,NA
"186","ICUS0186","Ahmat","Sharom",NA,NA,NA
"187","ICUS0187","Binder","Leonard",NA,NA,NA
"188","ICUS0188","Binner","Walter",NA,NA,NA
"189","ICUS0189","Birsel","Mahmut Tevfik",NA,NA,NA
"190","ICUS0190","Bisnovatyi-Kogan","Guennadi Semenovich",NA,NA,NA
"191","ICUS0191","Bissery","Jacqueline",NA,NA,NA
"192","ICUS0192","Bitterman","Morton Edward",NA,NA,NA
"193","ICUS0193","Bitton-Jackson","Livia",NA,NA,NA
"194","ICUS0194","Björk","Sven",NA,NA,NA
"195","ICUS0195","Blackmore","John Thomas",NA,NA,NA
"196","ICUS0196","Blanco","Jose C.",NA,NA,NA
"197","ICUS0197","Blank","Robert H.",NA,NA,NA
"198","ICUS0198","Blegvad","Mogens",NA,NA,"B1917-06-25"
"199","ICUS0199","Block","Stanley M.",NA,NA,NA
"200","ICUS0200","Block","Walter",NA,NA,NA
"201","ICUS0201","Blong","Clair K.",NA,NA,NA
"202","ICUS0202","Bloom","Alfred",NA,NA,NA
"203","ICUS0203","Blumenfeld","Hans",NA,NA,NA
"204","ICUS0204","Blystone","Jasper John",NA,NA,NA
"205","ICUS0205","Boardman","Harry",NA,NA,NA
"206","ICUS0206","Bobrow","Sue Berryman",NA,NA,NA
"207","ICUS0207","Bocking","Brian Christopher",NA,NA,NA
"208","ICUS0208","Bogdan","Radu I.C.",NA,NA,NA
"209","ICUS0209","Boh","Katja",NA,NA,NA
"210","ICUS0210","Bokadia","M.M.",NA,NA,NA
"211","ICUS0211","Bokamba","Eyamba Georges",NA,NA,NA
"212","ICUS0212","Bolin","Nona R.",NA,NA,NA
"213","ICUS0213","Bonardel","Francoise",NA,NA,NA
"214","ICUS0214","Boné","Edouard",NA,NA,NA
"215","ICUS0215","Bonifazi","Conrad",NA,NA,NA
"216","ICUS0216","Bonnier","Henry",NA,NA,NA
"217","ICUS0217","Bookstein","Fred L.",NA,NA,NA
"218","ICUS0218","Bopape","Moses",NA,NA,NA
"219","ICUS0219","Borowski","Karol H.",NA,NA,NA
"220","ICUS0220","Borrero","Alfonso",NA,NA,NA
"221","ICUS0221","Boslooper","Thomas David",NA,NA,NA
"222","ICUS0222","Botchway","Francis A.",NA,NA,NA
"223","ICUS0223","Boucher","Jerry D.",NA,NA,NA
"224","ICUS0224","Boudon","Raymond",NA,NA,NA
"225","ICUS0225","Boutin","Maurice",NA,NA,NA
"226","ICUS0226","Boyer","Alain",NA,NA,NA
"227","ICUS0227","Brabazon","Kevin",NA,NA,NA
"228","ICUS0228","Brady","Joseph Vincent",NA,NA,NA
"229","ICUS0229","Brainerd","Charles J.",NA,NA,NA
"230","ICUS0230","Brante","Thomas",NA,NA,NA
"231","ICUS0231","Brasted","Robert Crocker",NA,NA,NA
